epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65166,0.83903,9.9075,0.78273,0.03279,0.66667,0.08313,0.02717,0.85238,4.03003,0.78667,0,0,0
2,2.67458,0.81616,9.30152,0.8673,0.0274,0.66667,0.0532,0.01887,0.83511,4.02547,0.7845,1.28753e-05,1.28753e-05,1.28753e-05
3,3.19996,0.8545,10.3983,0.93724,0.02381,0.66667,0.03167,0.01117,0.82279,4.02116,0.78747,2.29212e-05,2.29212e-05,2.29212e-05
4,3.81726,0.9787,10.3613,0.84275,0.02174,0.66667,0.02509,0.00884,0.80189,4.02174,0.78324,3.01376e-05,3.01376e-05,3.01376e-05
5,4.36227,1.13461,9.78179,0.81099,0.02174,0.66667,0.02509,0.00884,0.80189,4.02174,0.78324,3.45246e-05,3.45246e-05,3.45246e-05
6,5.03847,0.89079,10.1767,0.783,0.01961,0.66667,0.07824,0.02909,0.77496,4.01336,0.78264,3.60822e-05,3.60822e-05,3.60822e-05
7,6.27539,0.60023,10.3858,0.82136,0.01961,0.66667,0.07824,0.02909,0.77496,4.01336,0.78264,3.48104e-05,3.48104e-05,3.48104e-05
8,7.64562,0.60631,10.9527,0.99362,0.01802,0.66667,0.03167,0.01444,0.74506,4.00873,0.78152,3.07092e-05,3.07092e-05,3.07092e-05
9,8.54732,0.81575,10.2835,0.79794,0.01802,0.66667,0.03167,0.01444,0.74506,4.00873,0.78152,2.37786e-05,2.37786e-05,2.37786e-05
10,9.41868,1.0615,9.9771,0.88245,0.01724,0.66667,0.03141,0.01666,0.7261,4.00456,0.77913,1.40185e-05,1.40185e-05,1.40185e-05
